"","Date","Provinsi","Total.Cases","Total.Deaths","Total.Recovered","Total.Active.Cases","Location.Level","Population","Population.Density","Longitude","Latitude"
"1",2020-03-01,"DKI Jakarta",489,35,39,415,"Province",10846145,16334.31,106.8361183,-6.204698991
"2",2020-03-02,"DKI Jakarta",491,35,39,417,"Province",10846145,16334.31,106.8361183,-6.204698991
"4",2020-03-02,"Jawa Barat",12,10,624,-622,"Province",45161325,1276.55,107.6037083,-6.920432083
"5",2020-03-02,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"6",2020-03-03,"DKI Jakarta",493,35,39,419,"Province",10846145,16334.31,106.8361183,-6.204698991
"8",2020-03-03,"Jawa Barat",13,11,624,-622,"Province",45161325,1276.55,107.6037083,-6.920432083
"9",2020-03-03,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"10",2020-03-04,"DKI Jakarta",495,35,39,421,"Province",10846145,16334.31,106.8361183,-6.204698991
"12",2020-03-04,"Jawa Barat",14,11,624,-621,"Province",45161325,1276.55,107.6037083,-6.920432083
"13",2020-03-04,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"14",2020-03-05,"DKI Jakarta",495,36,39,420,"Province",10846145,16334.31,106.8361183,-6.204698991
"16",2020-03-05,"Jawa Barat",15,11,624,-620,"Province",45161325,1276.55,107.6037083,-6.920432083
"17",2020-03-05,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"18",2020-03-06,"Banten",59,1,31,27,"Province",10722374,1109.64,106.1090043,-6.456736388
"19",2020-03-06,"DKI Jakarta",495,36,39,420,"Province",10846145,16334.31,106.8361183,-6.204698991
"21",2020-03-06,"Jawa Barat",16,11,624,-619,"Province",45161325,1276.55,107.6037083,-6.920432083
"22",2020-03-06,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"23",2020-03-07,"Banten",59,1,31,27,"Province",10722374,1109.64,106.1090043,-6.456736388
"24",2020-03-07,"DKI Jakarta",495,38,39,418,"Province",10846145,16334.31,106.8361183,-6.204698991
"26",2020-03-07,"Jawa Barat",16,11,624,-619,"Province",45161325,1276.55,107.6037083,-6.920432083
"27",2020-03-07,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"28",2020-03-08,"Banten",60,1,31,28,"Province",10722374,1109.64,106.1090043,-6.456736388
"29",2020-03-08,"DKI Jakarta",495,38,39,418,"Province",10846145,16334.31,106.8361183,-6.204698991
"31",2020-03-08,"Jawa Barat",16,11,624,-619,"Province",45161325,1276.55,107.6037083,-6.920432083
"32",2020-03-08,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"33",2020-03-09,"Banten",60,1,31,28,"Province",10722374,1109.64,106.1090043,-6.456736388
"34",2020-03-09,"DKI Jakarta",495,39,39,417,"Province",10846145,16334.31,106.8361183,-6.204698991
"36",2020-03-09,"Jawa Barat",16,11,624,-619,"Province",45161325,1276.55,107.6037083,-6.920432083
"37",2020-03-09,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"38",2020-03-10,"Banten",60,1,31,28,"Province",10722374,1109.64,106.1090043,-6.456736388
"39",2020-03-10,"DKI Jakarta",495,39,39,417,"Province",10846145,16334.31,106.8361183,-6.204698991
"41",2020-03-10,"Jawa Barat",16,11,624,-619,"Province",45161325,1276.55,107.6037083,-6.920432083
"42",2020-03-10,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"43",2020-03-10,"Sulawesi Tenggara",1,0,6,-5,"Province",2635461,69.23,122.070311,-4.124688793
"44",2020-03-11,"Banten",60,1,31,28,"Province",10722374,1109.64,106.1090043,-6.456736388
"45",2020-03-11,"DKI Jakarta",495,39,39,417,"Province",10846145,16334.31,106.8361183,-6.204698991
"47",2020-03-11,"Jawa Barat",16,12,624,-620,"Province",45161325,1276.55,107.6037083,-6.920432083
"48",2020-03-11,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"49",2020-03-11,"Sulawesi Tenggara",1,0,6,-5,"Province",2635461,69.23,122.070311,-4.124688793
"50",2020-03-12,"Banten",60,2,31,27,"Province",10722374,1109.64,106.1090043,-6.456736388
"51",2020-03-12,"DKI Jakarta",495,40,43,412,"Province",10846145,16334.31,106.8361183,-6.204698991
"53",2020-03-12,"Jawa Barat",17,12,624,-619,"Province",45161325,1276.55,107.6037083,-6.920432083
"54",2020-03-12,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"55",2020-03-12,"Sulawesi Tenggara",1,0,6,-5,"Province",2635461,69.23,122.070311,-4.124688793
"56",2020-03-13,"Banten",61,2,31,28,"Province",10722374,1109.64,106.1090043,-6.456736388
"57",2020-03-13,"DKI Jakarta",495,41,46,408,"Province",10846145,16334.31,106.8361183,-6.204698991
"59",2020-03-13,"Jawa Barat",21,12,628,-619,"Province",45161325,1276.55,107.6037083,-6.920432083
"60",2020-03-13,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"61",2020-03-13,"Sulawesi Tenggara",1,0,6,-5,"Province",2635461,69.23,122.070311,-4.124688793
"62",2020-03-14,"Banten",62,2,31,29,"Province",10722374,1109.64,106.1090043,-6.456736388
"63",2020-03-14,"DKI Jakarta",496,42,47,407,"Province",10846145,16334.31,106.8361183,-6.204698991
"65",2020-03-14,"Jawa Barat",21,12,628,-619,"Province",45161325,1276.55,107.6037083,-6.920432083
"66",2020-03-14,"Kalimantan Timur",6,2,124,-120,"Province",3552191,27.52,116.4684405,0.45385803
"67",2020-03-14,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"68",2020-03-14,"Sulawesi Tenggara",1,0,6,-5,"Province",2635461,69.23,122.070311,-4.124688793
"69",2020-03-15,"Banten",63,2,31,30,"Province",10722374,1109.64,106.1090043,-6.456736388
"70",2020-03-15,"DKI Jakarta",502,45,47,410,"Province",10846145,16334.31,106.8361183,-6.204698991
"72",2020-03-15,"Jawa Barat",21,12,628,-619,"Province",45161325,1276.55,107.6037083,-6.920432083
"73",2020-03-15,"Kalimantan Timur",8,2,124,-118,"Province",3552191,27.52,116.4684405,0.45385803
"74",2020-03-15,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"75",2020-03-15,"Sulawesi Tenggara",1,0,6,-5,"Province",2635461,69.23,122.070311,-4.124688793
"76",2020-03-16,"Banten",64,2,31,31,"Province",10722374,1109.64,106.1090043,-6.456736388
"77",2020-03-16,"DKI Jakarta",502,48,47,407,"Province",10846145,16334.31,106.8361183,-6.204698991
"78",2020-03-16,"Daerah Istimewa Yogyakarta",16,1,37,-22,"Province",3631015,1158.9,110.4448783,-7.89450185
"80",2020-03-16,"Jawa Barat",22,12,628,-618,"Province",45161325,1276.55,107.6037083,-6.920432083
"81",2020-03-16,"Kalimantan Timur",9,2,124,-117,"Province",3552191,27.52,116.4684405,0.45385803
"82",2020-03-16,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"83",2020-03-16,"Sulawesi Tenggara",3,0,6,-3,"Province",2635461,69.23,122.070311,-4.124688793
"84",2020-03-17,"Banten",64,3,31,30,"Province",10722374,1109.64,106.1090043,-6.456736388
"85",2020-03-17,"DKI Jakarta",503,49,47,407,"Province",10846145,16334.31,106.8361183,-6.204698991
"86",2020-03-17,"Daerah Istimewa Yogyakarta",16,1,37,-22,"Province",3631015,1158.9,110.4448783,-7.89450185
"88",2020-03-17,"Jawa Barat",33,12,628,-607,"Province",45161325,1276.55,107.6037083,-6.920432083
"89",2020-03-17,"Kalimantan Timur",10,2,124,-116,"Province",3552191,27.52,116.4684405,0.45385803
"90",2020-03-17,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"91",2020-03-17,"Sulawesi Tenggara",3,0,6,-3,"Province",2635461,69.23,122.070311,-4.124688793
"92",2020-03-17,"Sumatera Utara",8,1,33,-26,"Province",14874889,203.82,99.05196442,2.191894453
"93",2020-03-18,"Banten",64,3,31,30,"Province",10722374,1109.64,106.1090043,-6.456736388
"94",2020-03-18,"DKI Jakarta",503,50,47,406,"Province",10846145,16334.31,106.8361183,-6.204698991
"95",2020-03-18,"Daerah Istimewa Yogyakarta",16,1,37,-22,"Province",3631015,1158.9,110.4448783,-7.89450185
"97",2020-03-18,"Jawa Barat",38,13,629,-604,"Province",45161325,1276.55,107.6037083,-6.920432083
"98",2020-03-18,"Jawa Tengah",12,14,185,-187,"Province",36364072,1108.64,110.2011149,-7.259097177
"99",2020-03-18,"Jawa Timur",7,43,410,-446,"Province",40479023,846.78,112.7329414,-7.723345579
"100",2020-03-18,"Kalimantan Timur",10,2,124,-116,"Province",3552191,27.52,116.4684405,0.45385803
"101",2020-03-18,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"102",2020-03-18,"Sulawesi Tenggara",3,0,6,-3,"Province",2635461,69.23,122.070311,-4.124688793
"103",2020-03-18,"Sumatera Utara",8,1,33,-26,"Province",14874889,203.82,99.05196442,2.191894453
"104",2020-03-19,"Banten",64,4,31,29,"Province",10722374,1109.64,106.1090043,-6.456736388
"105",2020-03-19,"DKI Jakarta",504,50,48,406,"Province",10846145,16334.31,106.8361183,-6.204698991
"106",2020-03-19,"Daerah Istimewa Yogyakarta",16,1,37,-22,"Province",3631015,1158.9,110.4448783,-7.89450185
"108",2020-03-19,"Jawa Barat",45,14,629,-598,"Province",45161325,1276.55,107.6037083,-6.920432083
"109",2020-03-19,"Jawa Tengah",13,14,185,-186,"Province",36364072,1108.64,110.2011149,-7.259097177
"110",2020-03-19,"Jawa Timur",10,43,410,-443,"Province",40479023,846.78,112.7329414,-7.723345579
"111",2020-03-19,"Kalimantan Timur",10,2,124,-116,"Province",3552191,27.52,116.4684405,0.45385803
"112",2020-03-19,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"113",2020-03-19,"Sulawesi Selatan",2,1,83,-82,"Province",9426885,201.78,120.1620559,-3.731080714
"114",2020-03-19,"Sulawesi Tenggara",3,0,6,-3,"Province",2635461,69.23,122.070311,-4.124688793
"115",2020-03-19,"Sumatera Utara",8,1,33,-26,"Province",14874889,203.82,99.05196442,2.191894453
"116",2020-03-20,"Banten",64,5,31,28,"Province",10722374,1109.64,106.1090043,-6.456736388
"117",2020-03-20,"DKI Jakarta",505,53,49,403,"Province",10846145,16334.31,106.8361183,-6.204698991
"118",2020-03-20,"Daerah Istimewa Yogyakarta",16,1,38,-23,"Province",3631015,1158.9,110.4448783,-7.89450185
"120",2020-03-20,"Jambi",1,2,7,-8,"Province",3493357,69.79,102.7236404,-1.69769766
"121",2020-03-20,"Jawa Barat",65,17,629,-581,"Province",45161325,1276.55,107.6037083,-6.920432083
"122",2020-03-20,"Jawa Tengah",15,14,185,-184,"Province",36364072,1108.64,110.2011149,-7.259097177
"123",2020-03-20,"Jawa Timur",19,43,410,-434,"Province",40479023,846.78,112.7329414,-7.723345579
"124",2020-03-20,"Kalimantan Timur",10,2,124,-116,"Province",3552191,27.52,116.4684405,0.45385803
"125",2020-03-20,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"126",2020-03-20,"Sulawesi Selatan",2,1,83,-82,"Province",9426885,201.78,120.1620559,-3.731080714
"127",2020-03-20,"Sulawesi Tenggara",3,0,6,-3,"Province",2635461,69.23,122.070311,-4.124688793
"128",2020-03-20,"Sumatera Utara",8,1,33,-26,"Province",14874889,203.82,99.05196442,2.191894453
"129",2020-03-21,"Banten",64,5,31,28,"Province",10722374,1109.64,106.1090043,-6.456736388
"130",2020-03-21,"DKI Jakarta",505,56,55,394,"Province",10846145,16334.31,106.8361183,-6.204698991
"131",2020-03-21,"Daerah Istimewa Yogyakarta",16,1,38,-23,"Province",3631015,1158.9,110.4448783,-7.89450185
"133",2020-03-21,"Jambi",1,2,7,-8,"Province",3493357,69.79,102.7236404,-1.69769766
"134",2020-03-21,"Jawa Barat",70,17,629,-576,"Province",45161325,1276.55,107.6037083,-6.920432083
"135",2020-03-21,"Jawa Tengah",16,15,185,-184,"Province",36364072,1108.64,110.2011149,-7.259097177
"136",2020-03-21,"Jawa Timur",27,43,410,-426,"Province",40479023,846.78,112.7329414,-7.723345579
"137",2020-03-21,"Kalimantan Timur",10,2,124,-116,"Province",3552191,27.52,116.4684405,0.45385803
"138",2020-03-21,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"139",2020-03-21,"Sulawesi Selatan",2,1,83,-82,"Province",9426885,201.78,120.1620559,-3.731080714
"140",2020-03-21,"Sulawesi Tenggara",3,0,6,-3,"Province",2635461,69.23,122.070311,-4.124688793
"141",2020-03-21,"Sumatera Utara",8,1,33,-26,"Province",14874889,203.82,99.05196442,2.191894453
"142",2020-03-22,"Banten",64,5,31,28,"Province",10722374,1109.64,106.1090043,-6.456736388
"143",2020-03-22,"DKI Jakarta",505,56,58,391,"Province",10846145,16334.31,106.8361183,-6.204698991
"144",2020-03-22,"Daerah Istimewa Yogyakarta",16,1,38,-23,"Province",3631015,1158.9,110.4448783,-7.89450185
"146",2020-03-22,"Jambi",1,2,7,-8,"Province",3493357,69.79,102.7236404,-1.69769766
"147",2020-03-22,"Jawa Barat",73,20,629,-576,"Province",45161325,1276.55,107.6037083,-6.920432083
"148",2020-03-22,"Jawa Tengah",16,15,185,-184,"Province",36364072,1108.64,110.2011149,-7.259097177
"149",2020-03-22,"Jawa Timur",41,43,410,-412,"Province",40479023,846.78,112.7329414,-7.723345579
"150",2020-03-22,"Kalimantan Timur",10,2,124,-116,"Province",3552191,27.52,116.4684405,0.45385803
"151",2020-03-22,"Maluku",1,0,3,-2,"Province",1847097,39.37,129.576792,-3.192572
"152",2020-03-22,"Papua",3,1,11,-9,"Province",4340348,13.6,138.69603,-4.66620953
"153",2020-03-22,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"154",2020-03-22,"Sulawesi Selatan",2,1,83,-82,"Province",9426885,201.78,120.1620559,-3.731080714
"155",2020-03-22,"Sulawesi Tenggara",3,0,6,-3,"Province",2635461,69.23,122.070311,-4.124688793
"156",2020-03-22,"Sumatera Utara",8,1,33,-26,"Province",14874889,203.82,99.05196442,2.191894453
"157",2020-03-23,"Banten",64,5,31,28,"Province",10722374,1109.64,106.1090043,-6.456736388
"158",2020-03-23,"DKI Jakarta",505,56,58,391,"Province",10846145,16334.31,106.8361183,-6.204698991
"159",2020-03-23,"Daerah Istimewa Yogyakarta",16,2,38,-24,"Province",3631015,1158.9,110.4448783,-7.89450185
"161",2020-03-23,"Jambi",1,2,7,-8,"Province",3493357,69.79,102.7236404,-1.69769766
"162",2020-03-23,"Jawa Barat",79,24,629,-574,"Province",45161325,1276.55,107.6037083,-6.920432083
"163",2020-03-23,"Jawa Tengah",19,15,185,-181,"Province",36364072,1108.64,110.2011149,-7.259097177
"164",2020-03-23,"Jawa Timur",43,44,410,-411,"Province",40479023,846.78,112.7329414,-7.723345579
"165",2020-03-23,"Kalimantan Timur",11,2,124,-115,"Province",3552191,27.52,116.4684405,0.45385803
"166",2020-03-23,"Maluku",1,0,3,-2,"Province",1847097,39.37,129.576792,-3.192572
"167",2020-03-23,"Maluku Utara",1,0,23,-22,"Province",1307803,40.89,127.5391072,0.212036949
"168",2020-03-23,"Papua",3,1,11,-9,"Province",4340348,13.6,138.69603,-4.66620953
"169",2020-03-23,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"170",2020-03-23,"Sulawesi Selatan",2,2,83,-83,"Province",9426885,201.78,120.1620559,-3.731080714
"171",2020-03-23,"Sulawesi Tenggara",3,0,6,-3,"Province",2635461,69.23,122.070311,-4.124688793
"172",2020-03-23,"Sumatera Utara",8,1,33,-26,"Province",14874889,203.82,99.05196442,2.191894453
"173",2020-03-24,"Banten",64,5,32,27,"Province",10722374,1109.64,106.1090043,-6.456736388
"174",2020-03-24,"DKI Jakarta",505,75,61,369,"Province",10846145,16334.31,106.8361183,-6.204698991
"175",2020-03-24,"Daerah Istimewa Yogyakarta",16,2,38,-24,"Province",3631015,1158.9,110.4448783,-7.89450185
"177",2020-03-24,"Jambi",1,2,7,-8,"Province",3493357,69.79,102.7236404,-1.69769766
"178",2020-03-24,"Jawa Barat",81,26,630,-575,"Province",45161325,1276.55,107.6037083,-6.920432083
"179",2020-03-24,"Jawa Tengah",20,16,185,-181,"Province",36364072,1108.64,110.2011149,-7.259097177
"180",2020-03-24,"Jawa Timur",46,45,410,-409,"Province",40479023,846.78,112.7329414,-7.723345579
"181",2020-03-24,"Kalimantan Timur",11,2,124,-115,"Province",3552191,27.52,116.4684405,0.45385803
"182",2020-03-24,"Maluku",1,0,3,-2,"Province",1847097,39.37,129.576792,-3.192572
"183",2020-03-24,"Maluku Utara",1,0,23,-22,"Province",1307803,40.89,127.5391072,0.212036949
"184",2020-03-24,"Papua",3,1,11,-9,"Province",4340348,13.6,138.69603,-4.66620953
"185",2020-03-24,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"186",2020-03-24,"Sulawesi Selatan",4,2,83,-81,"Province",9426885,201.78,120.1620559,-3.731080714
"187",2020-03-24,"Sulawesi Tenggara",3,0,6,-3,"Province",2635461,69.23,122.070311,-4.124688793
"188",2020-03-24,"Sumatera Utara",8,1,33,-26,"Province",14874889,203.82,99.05196442,2.191894453
"189",2020-03-25,"Banten",64,5,32,27,"Province",10722374,1109.64,106.1090043,-6.456736388
"190",2020-03-25,"DKI Jakarta",505,76,61,368,"Province",10846145,16334.31,106.8361183,-6.204698991
"191",2020-03-25,"Daerah Istimewa Yogyakarta",16,3,38,-25,"Province",3631015,1158.9,110.4448783,-7.89450185
"193",2020-03-25,"Jambi",1,2,7,-8,"Province",3493357,69.79,102.7236404,-1.69769766
"194",2020-03-25,"Jawa Barat",86,26,631,-571,"Province",45161325,1276.55,107.6037083,-6.920432083
"195",2020-03-25,"Jawa Tengah",38,17,185,-164,"Province",36364072,1108.64,110.2011149,-7.259097177
"196",2020-03-25,"Jawa Timur",55,45,411,-401,"Province",40479023,846.78,112.7329414,-7.723345579
"197",2020-03-25,"Kalimantan Timur",11,2,124,-115,"Province",3552191,27.52,116.4684405,0.45385803
"198",2020-03-25,"Maluku",1,0,3,-2,"Province",1847097,39.37,129.576792,-3.192572
"199",2020-03-25,"Maluku Utara",1,0,23,-22,"Province",1307803,40.89,127.5391072,0.212036949
"200",2020-03-25,"Papua",3,1,11,-9,"Province",4340348,13.6,138.69603,-4.66620953
"201",2020-03-25,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"202",2020-03-25,"Sulawesi Selatan",13,2,83,-72,"Province",9426885,201.78,120.1620559,-3.731080714
"203",2020-03-25,"Sulawesi Tenggara",3,0,6,-3,"Province",2635461,69.23,122.070311,-4.124688793
"204",2020-03-25,"Sumatera Utara",8,1,33,-26,"Province",14874889,203.82,99.05196442,2.191894453
"205",2020-03-26,"Aceh",1,1,0,0,"Province",5247257,90.54,96.91052174,4.225614628
"206",2020-03-26,"Banten",64,5,33,26,"Province",10722374,1109.64,106.1090043,-6.456736388
"207",2020-03-26,"DKI Jakarta",561,78,61,422,"Province",10846145,16334.31,106.8361183,-6.204698991
"208",2020-03-26,"Daerah Istimewa Yogyakarta",16,3,38,-25,"Province",3631015,1158.9,110.4448783,-7.89450185
"210",2020-03-26,"Jambi",1,2,7,-8,"Province",3493357,69.79,102.7236404,-1.69769766
"211",2020-03-26,"Jawa Barat",94,26,631,-563,"Province",45161325,1276.55,107.6037083,-6.920432083
"212",2020-03-26,"Jawa Tengah",40,17,186,-163,"Province",36364072,1108.64,110.2011149,-7.259097177
"213",2020-03-26,"Jawa Timur",68,46,411,-389,"Province",40479023,846.78,112.7329414,-7.723345579
"214",2020-03-26,"Kalimantan Tengah",6,1,54,-49,"Province",2570289,16.74,113.4176536,-1.602484653
"215",2020-03-26,"Kalimantan Timur",11,2,124,-115,"Province",3552191,27.52,116.4684405,0.45385803
"216",2020-03-26,"Lampung",3,0,37,-34,"Province",9095591,262.7,105.0214366,-4.916792975
"217",2020-03-26,"Maluku",1,0,3,-2,"Province",1847097,39.37,129.576792,-3.192572
"218",2020-03-26,"Maluku Utara",1,0,23,-22,"Province",1307803,40.89,127.5391072,0.212036949
"219",2020-03-26,"Papua",7,1,11,-5,"Province",4340348,13.6,138.69603,-4.66620953
"220",2020-03-26,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"221",2020-03-26,"Sulawesi Selatan",27,2,83,-58,"Province",9426885,201.78,120.1620559,-3.731080714
"222",2020-03-26,"Sulawesi Tengah",1,0,13,-12,"Province",2955567,47.79,121.2010927,-1.00413668
"223",2020-03-26,"Sulawesi Tenggara",3,0,6,-3,"Province",2635461,69.23,122.070311,-4.124688793
"224",2020-03-26,"Sumatera Barat",3,0,4,-1,"Province",5519245,131.37,100.4650624,-0.850253225
"225",2020-03-26,"Sumatera Utara",8,1,33,-26,"Province",14874889,203.82,99.05196442,2.191894453
"226",2020-03-27,"Aceh",4,1,0,3,"Province",5247257,90.54,96.91052174,4.225614628
"227",2020-03-27,"Banten",89,5,33,51,"Province",10722374,1109.64,106.1090043,-6.456736388
"228",2020-03-27,"DKI Jakarta",629,85,67,477,"Province",10846145,16334.31,106.8361183,-6.204698991
"229",2020-03-27,"Daerah Istimewa Yogyakarta",17,3,38,-24,"Province",3631015,1158.9,110.4448783,-7.89450185
"231",2020-03-27,"Jambi",1,2,7,-8,"Province",3493357,69.79,102.7236404,-1.69769766
"232",2020-03-27,"Jawa Barat",121,30,631,-540,"Province",45161325,1276.55,107.6037083,-6.920432083
"233",2020-03-27,"Jawa Tengah",44,17,186,-159,"Province",36364072,1108.64,110.2011149,-7.259097177
"234",2020-03-27,"Jawa Timur",71,47,411,-387,"Province",40479023,846.78,112.7329414,-7.723345579
"235",2020-03-27,"Kalimantan Tengah",6,1,54,-49,"Province",2570289,16.74,113.4176536,-1.602484653
"236",2020-03-27,"Kalimantan Timur",11,2,124,-115,"Province",3552191,27.52,116.4684405,0.45385803
"237",2020-03-27,"Lampung",4,0,37,-33,"Province",9095591,262.7,105.0214366,-4.916792975
"238",2020-03-27,"Maluku",1,0,3,-2,"Province",1847097,39.37,129.576792,-3.192572
"239",2020-03-27,"Maluku Utara",1,0,23,-22,"Province",1307803,40.89,127.5391072,0.212036949
"240",2020-03-27,"Papua",7,1,11,-5,"Province",4340348,13.6,138.69603,-4.66620953
"241",2020-03-27,"Papua Barat",2,1,7,-6,"Province",1140701,11.08,132.9762624,-2.045160182
"242",2020-03-27,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"243",2020-03-27,"Sulawesi Selatan",29,2,83,-56,"Province",9426885,201.78,120.1620559,-3.731080714
"244",2020-03-27,"Sulawesi Tengah",1,0,13,-12,"Province",2955567,47.79,121.2010927,-1.00413668
"245",2020-03-27,"Sulawesi Tenggara",3,0,6,-3,"Province",2635461,69.23,122.070311,-4.124688793
"246",2020-03-27,"Sumatera Barat",5,0,4,1,"Province",5519245,131.37,100.4650624,-0.850253225
"247",2020-03-27,"Sumatera Utara",8,2,33,-27,"Province",14874889,203.82,99.05196442,2.191894453
"248",2020-03-28,"Aceh",5,1,0,4,"Province",5247257,90.54,96.91052174,4.225614628
"249",2020-03-28,"Banten",99,5,34,60,"Province",10722374,1109.64,106.1090043,-6.456736388
"250",2020-03-28,"DKI Jakarta",670,94,76,500,"Province",10846145,16334.31,106.8361183,-6.204698991
"251",2020-03-28,"Daerah Istimewa Yogyakarta",17,3,38,-24,"Province",3631015,1158.9,110.4448783,-7.89450185
"253",2020-03-28,"Jambi",1,2,7,-8,"Province",3493357,69.79,102.7236404,-1.69769766
"254",2020-03-28,"Jawa Barat",144,32,632,-520,"Province",45161325,1276.55,107.6037083,-6.920432083
"255",2020-03-28,"Jawa Tengah",56,18,188,-150,"Province",36364072,1108.64,110.2011149,-7.259097177
"256",2020-03-28,"Jawa Timur",85,49,413,-377,"Province",40479023,846.78,112.7329414,-7.723345579
"257",2020-03-28,"Kalimantan Tengah",7,1,54,-48,"Province",2570289,16.74,113.4176536,-1.602484653
"258",2020-03-28,"Kalimantan Timur",16,2,124,-110,"Province",3552191,27.52,116.4684405,0.45385803
"259",2020-03-28,"Kalimantan Utara",2,0,0,2,"Province",648407,8.59,116.2188791,2.891012621
"260",2020-03-28,"Lampung",4,0,37,-33,"Province",9095591,262.7,105.0214366,-4.916792975
"261",2020-03-28,"Maluku",1,0,3,-2,"Province",1847097,39.37,129.576792,-3.192572
"262",2020-03-28,"Maluku Utara",1,0,23,-22,"Province",1307803,40.89,127.5391072,0.212036949
"263",2020-03-28,"Papua",7,1,11,-5,"Province",4340348,13.6,138.69603,-4.66620953
"264",2020-03-28,"Papua Barat",2,1,7,-6,"Province",1140701,11.08,132.9762624,-2.045160182
"265",2020-03-28,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"266",2020-03-28,"Sulawesi Barat",1,0,4,-3,"Province",1559984,92.93,119.3450194,-2.461746053
"267",2020-03-28,"Sulawesi Selatan",32,2,83,-53,"Province",9426885,201.78,120.1620559,-3.731080714
"268",2020-03-28,"Sulawesi Tengah",2,0,13,-11,"Province",2955567,47.79,121.2010927,-1.00413668
"269",2020-03-28,"Sulawesi Tenggara",3,0,6,-3,"Province",2635461,69.23,122.070311,-4.124688793
"270",2020-03-28,"Sumatera Barat",5,0,4,1,"Province",5519245,131.37,100.4650624,-0.850253225
"271",2020-03-28,"Sumatera Selatan",2,2,41,-41,"Province",8217551,89.72,104.1694647,-3.216211808
"272",2020-03-28,"Sumatera Utara",8,2,33,-27,"Province",14874889,203.82,99.05196442,2.191894453
"273",2020-03-29,"Aceh",5,1,0,4,"Province",5247257,90.54,96.91052174,4.225614628
"274",2020-03-29,"Bali",10,2,7,1,"Province",4216171,729.43,115.1317136,-8.369471688
"275",2020-03-29,"Banten",101,7,34,60,"Province",10722374,1109.64,106.1090043,-6.456736388
"276",2020-03-29,"DKI Jakarta",719,104,76,539,"Province",10846145,16334.31,106.8361183,-6.204698991
"277",2020-03-29,"Daerah Istimewa Yogyakarta",17,3,38,-24,"Province",3631015,1158.9,110.4448783,-7.89450185
"279",2020-03-29,"Jambi",1,2,7,-8,"Province",3493357,69.79,102.7236404,-1.69769766
"280",2020-03-29,"Jawa Barat",177,34,633,-490,"Province",45161325,1276.55,107.6037083,-6.920432083
"281",2020-03-29,"Jawa Tengah",63,20,188,-145,"Province",36364072,1108.64,110.2011149,-7.259097177
"282",2020-03-29,"Jawa Timur",97,50,441,-394,"Province",40479023,846.78,112.7329414,-7.723345579
"283",2020-03-29,"Kalimantan Barat",8,2,3,3,"Province",5422814,36.81,111.1211776,-0.086474572
"284",2020-03-29,"Kalimantan Tengah",7,1,54,-48,"Province",2570289,16.74,113.4176536,-1.602484653
"285",2020-03-29,"Kalimantan Timur",16,2,124,-110,"Province",3552191,27.52,116.4684405,0.45385803
"286",2020-03-29,"Kalimantan Utara",2,0,0,2,"Province",648407,8.59,116.2188791,2.891012621
"287",2020-03-29,"Lampung",4,0,37,-33,"Province",9095591,262.7,105.0214366,-4.916792975
"288",2020-03-29,"Maluku",1,0,3,-2,"Province",1847097,39.37,129.576792,-3.192572
"289",2020-03-29,"Maluku Utara",1,0,23,-22,"Province",1307803,40.89,127.5391072,0.212036949
"290",2020-03-29,"Papua",9,1,11,-3,"Province",4340348,13.6,138.69603,-4.66620953
"291",2020-03-29,"Papua Barat",2,1,7,-6,"Province",1140701,11.08,132.9762624,-2.045160182
